time [s],Current[A],Voltage[V],Wire-feed[m/min],Gas-flow[L/min],Unnamed: 5
1.67052E+12,2918,304,108,143,
1.67052E+12,2989,303,108,143,
1.67052E+12,2952,304,108,143,
1.67052E+12,2997,300,108,143,
1.67052E+12,2924,300,108,143,
1.67052E+12,2913,299,108,143,
1.67052E+12,2942,301,108,143,
1.67052E+12,2927,304,108,143,
1.67052E+12,2927,307,108,143,
1.67052E+12,2927,309,108,143,
1.67052E+12,2914,299,108,143,
1.67052E+12,2904,304,109,140,
1.67052E+12,2938,304,109,140,
1.67052E+12,2938,302,109,140,
1.67052E+12,2969,298,109,140,
1.67052E+12,2996,299,109,140,
1.67052E+12,2946,299,108,139,
1.67052E+12,2962,299,108,139,
1.67052E+12,3011,300,108,139,
1.67052E+12,2984,306,108,139,
1.67052E+12,2892,309,108,139,
1.67052E+12,2891,306,108,139,
1.67052E+12,2974,302,108,139,
1.67052E+12,2987,299,108,140,
1.67052E+12,2956,298,108,140,
1.67052E+12,2924,300,108,140,
1.67052E+12,2969,303,108,140,
1.67052E+12,2996,301,108,140,
1.67052E+12,2940,307,108,140,
1.67052E+12,2835,307,108,143,
1.67052E+12,2924,307,108,143,
1.67052E+12,2965,302,108,143,
1.67052E+12,2990,301,108,143,
1.67052E+12,2990,301,108,143,
1.67052E+12,2953,301,108,143,
1.67052E+12,2953,301,108,141,
1.67052E+12,2962,301,108,141,
1.67052E+12,2949,301,108,141,
1.67052E+12,2978,301,108,141,
1.67052E+12,3001,301,108,141,
1.67052E+12,2944,301,108,140,
1.67052E+12,2891,301,108,140,
1.67052E+12,2999,301,108,140,
1.67052E+12,2952,301,108,140,
1.67052E+12,2962,301,108,140,
1.67052E+12,2947,301,108,140,
1.67052E+12,3028,301,108,140,
1.67052E+12,3005,301,108,140,
1.67052E+12,2946,301,108,140,
1.67052E+12,2957,302,108,140,
1.67052E+12,2879,307,108,140,
1.67052E+12,2898,306,108,140,
1.67052E+12,2931,304,108,140,
1.67052E+12,2913,307,108,140,
1.67052E+12,2949,307,108,140,
1.67052E+12,2932,307,108,140,
1.67052E+12,2862,304,108,140,
1.67052E+12,2938,301,108,140,
1.67052E+12,2975,298,108,140,
1.67052E+12,3057,295,109,140,
1.67052E+12,3099,295,109,140,
1.67052E+12,3054,295,109,140,
1.67052E+12,2978,301,109,140,
1.67052E+12,2934,306,109,140,
1.67052E+12,2996,301,109,142,
1.67052E+12,2996,304,108,142,
1.67052E+12,2886,310,108,142,
1.67052E+12,2973,305,108,142,
1.67052E+12,2981,304,108,142,
1.67052E+12,2953,304,108,142,
1.67052E+12,3000,304,108,142,
1.67052E+12,2968,304,108,140,
1.67052E+12,2914,304,108,140,
1.67052E+12,2914,304,108,140,
1.67052E+12,2973,304,108,140,
1.67052E+12,2973,304,108,140,
1.67052E+12,2968,304,108,140,
1.67052E+12,2929,304,109,139,
1.67052E+12,2972,304,109,139,
1.67052E+12,2950,304,109,139,
1.67052E+12,2938,304,109,139,
1.67052E+12,2970,304,109,139,
1.67052E+12,2791,304,109,139,
1.67052E+12,2876,304,109,141,
1.67052E+12,2936,304,109,141,
1.67052E+12,2917,304,109,141,
1.67052E+12,2997,304,109,141,
1.67052E+12,3016,304,109,141,
1.67052E+12,2958,304,109,141,
1.67052E+12,2958,304,108,139,
1.67052E+12,3004,304,108,139,
1.67052E+12,2952,304,108,139,
1.67052E+12,2974,298,108,139,
1.67052E+12,2995,299,108,139,
1.67052E+12,2993,305,108,139,
1.67052E+12,2897,300,109,140,
1.67052E+12,2931,303,109,140,
1.67052E+12,2902,306,109,140,
1.67052E+12,2919,305,109,140,
1.67052E+12,2904,306,109,140,
1.67052E+12,2954,301,109,140,
1.67052E+12,2986,305,108,141,
1.67052E+12,2941,304,108,141,
1.67052E+12,2935,306,108,141,
1.67052E+12,2914,304,108,141,
1.67052E+12,2862,306,108,141,
1.67052E+12,2941,301,108,141,
1.67052E+12,2955,300,108,143,
1.67052E+12,2889,300,108,143,
1.67052E+12,2909,298,108,143,
1.67052E+12,2972,301,108,143,
1.67052E+12,2989,302,108,143,
1.67052E+12,2996,307,108,143,
1.67052E+12,2887,309,108,142,
1.67052E+12,2852,304,108,142,
1.67052E+12,2837,309,108,142,
1.67052E+12,2975,301,108,142,
1.67052E+12,3002,298,108,142,
1.67052E+12,2991,295,108,142,
1.67052E+12,3016,296,108,140,
1.67052E+12,2969,299,108,140,
1.67052E+12,2969,302,108,140,
1.67052E+12,2993,303,108,140,
1.67052E+12,2967,299,108,140,
1.67052E+12,3029,298,108,140,
1.67052E+12,3008,298,109,142,
1.67052E+12,2975,304,109,142,
1.67052E+12,2921,309,109,142,
1.67052E+12,2901,301,109,142,
1.67052E+12,2958,299,109,142,
1.67052E+12,3012,309,109,142,
1.67052E+12,2970,307,108,142,
1.67052E+12,2948,299,108,142,
1.67052E+12,3006,306,108,142,
1.67052E+12,2966,298,108,142,
1.67052E+12,2987,296,108,142,
1.67052E+12,2987,301,108,142,
1.67052E+12,2987,302,108,141,
1.67052E+12,2910,306,108,141,
1.67052E+12,2890,304,108,141,
1.67052E+12,2875,304,108,141,
1.67052E+12,2875,306,108,141,
1.67052E+12,2972,296,108,141,
1.67052E+12,3006,298,109,139,
1.67052E+12,3020,296,109,139,
1.67052E+12,2990,296,109,139,
1.67052E+12,2939,307,109,139,
1.67052E+12,2977,302,109,139,
1.67052E+12,2941,301,109,139,
1.67052E+12,2952,301,107,140,
1.67052E+12,2933,301,107,140,
1.67052E+12,2863,301,107,140,
1.67052E+12,2900,301,107,140,
1.67052E+12,2900,301,107,140,
1.67052E+12,2914,301,107,140,
1.67052E+12,2927,301,108,139,
1.67052E+12,2975,301,108,139,
1.67052E+12,2975,301,108,139,
1.67052E+12,2999,301,108,139,
1.67052E+12,2999,301,108,139,
1.67052E+12,3009,301,108,139,
1.67052E+12,2965,301,108,139,
1.67052E+12,2877,307,108,139,
1.67052E+12,2858,305,108,139,
1.67052E+12,2937,308,108,139,
1.67052E+12,2937,311,108,139,
1.67052E+12,2912,302,108,139,
1.67052E+12,2932,299,108,140,
1.67052E+12,2997,302,108,140,
1.67052E+12,2955,305,108,140,
1.67052E+12,2908,306,108,140,
1.67052E+12,2923,304,108,140,
1.67052E+12,2877,300,108,140,
1.67052E+12,2878,303,108,140,
1.67052E+12,2905,305,108,140,
1.67052E+12,2905,305,108,140,
1.67052E+12,2937,304,108,140,
1.67052E+12,2972,303,108,140,
1.67052E+12,3001,300,108,140,
1.67052E+12,2986,303,108,140,
1.67052E+12,2888,307,108,140,
1.67052E+12,2790,307,108,140,
1.67052E+12,2852,303,108,140,
1.67052E+12,2908,302,108,140,
1.67052E+12,2919,306,108,140,
1.67052E+12,2919,303,108,138,
1.67052E+12,2929,302,108,138,
1.67052E+12,2868,305,108,138,
1.67052E+12,2883,300,108,138,
1.67052E+12,2926,302,108,138,
1.67052E+12,2983,302,108,138,
1.67052E+12,2946,299,108,140,
1.67052E+12,2929,304,108,140,
1.67052E+12,2965,300,108,140,
1.67052E+12,2975,301,108,140,
1.67052E+12,2960,301,108,140,
1.67052E+12,2825,303,108,140,
1.67052E+12,2815,296,108,140,
1.67052E+12,2813,307,108,140,
1.67052E+12,2858,304,108,140,
1.67052E+12,2942,306,108,140,
1.67052E+12,2896,309,108,140,
1.67052E+12,2907,309,108,140,
1.67052E+12,2907,309,108,140,
1.67052E+12,2895,306,108,142,
1.67052E+12,2915,303,108,142,
1.67052E+12,2956,297,108,142,
